#separator: Comma
#deck: 日本語 Conj
#notetype: 日本語 Conj
#columns: id,vocabulary_id,definition,preferred_spelling,phonetic_spelling,alt_spelling,word_class,conjugation_kind,jlpt_level,date_added,row_num,lessons,positive_plain_present,positive_plain_past,positive_plain_te,positive_plain_conditional_eba,positive_plain_conditional_tara,positive_plain_potential,positive_plain_passive,positive_plain_causative,positive_plain_imperative,positive_polite_present,positive_polite_past,positive_polite_te,positive_polite_conditional_eba,positive_polite_conditional_tara,positive_polite_potential,positive_polite_passive,positive_polite_causative,positive_polite_imperative,negative_plain_present,negative_plain_past,negative_plain_te,negative_plain_conditional_eba,negative_plain_conditional_tara,negative_plain_potential,negative_plain_passive,negative_plain_causative,negative_plain_imperative,negative_polite_present,negative_polite_past,negative_polite_te,negative_polite_conditional_eba,negative_polite_conditional_tara,negative_polite_potential,negative_polite_passive,negative_polite_causative,negative_polite_imperative,tags
dd191fac-e29b-5262-b2a6-f9f2875a4a3f,dd191fac-e29b-5262-b2a6-f9f2875a4a3f,to live; to reside; to inhabit,住む,すむ,,verb,godan verb,5,2022-04-24,38,DUO_02_05 DUO_U08,住む,住んだ,住んで,,,,,,,住みます,住みました,,,,,,,,住まない,住まなかった,住まなくて,,,,,,,済みません,済みませんでした,,,,,,,,verb godan-verb duo-02-05 duo-u08
091d6d9c-5d19-51f5-bc28-3b5281042464,091d6d9c-5d19-51f5-bc28-3b5281042464,to say; to be called; name,申す,もうす,,verb,godan verb,4,2022-04-24,42,DUO_02_05 DUO_U08,申す,申した,申して,,,,,,,申します,申しました,,,,,,,,申さない,申さなかった,申さなくて,,,,,,,もうしません,もうしませんでした,,,,,,,,verb godan-verb duo-02-05 duo-u08
b7d078d1-235f-4462-b052-453aa5f6dfcf,b7d078d1-235f-4462-b052-453aa5f6dfcf,"to differ, to disagree; to be wrong",違う,ちがう,,verb,godan verb,5,2022-08-10,43,,違う,違った,違って,,,,,,,違います,違いました,,,,,,,,違わない,違わなかって,違わなくて,,,,,,,違いません,違いませんでした,,,,,,,,verb godan-verb
50cbf96a-57d3-5f45-b5fc-e415ff57717a,50cbf96a-57d3-5f45-b5fc-e415ff57717a,to go,行く,いく,,verb,godan verb,5,2022-07-24,210,DUO_02_03 DUO_U07 GENKI3_L03,行く,行った,行って,,,,,,,行きます,行きました,,,,,,,,行かない,行かなかった,行かなくて,,,,,,,行きません,行きませんでした,,,,,,,,verb godan-verb duo-02-03 duo-u07 genki3-l03
243bdf44-b101-5d5d-bc51-a4f5c1c03bc3,243bdf44-b101-5d5d-bc51-a4f5c1c03bc3,to go back; to return,帰る,かえる,,verb,godan verb,5,2022-07-24,211,GENKI3_L03,帰る,帰った,帰って,,,,,,,帰ります,帰りました,,,,,,,,帰らない,帰らなかった,帰らなくて,,,,,,,帰りません,帰りませんでした,,,,,,,,verb godan-verb genki3-l03
27c14160-d0d6-51f8-b7b1-9172cf8b84d2,27c14160-d0d6-51f8-b7b1-9172cf8b84d2,to listen; to hear; to ask,聞く,きく,,verb,godan verb,5,2022-07-24,212,GENKI3_L03,聞く,聞いた,聞いて,,,,,,,聞きます,聞きました,,,,,,,,聞かない,聞かなかった,聞かなくて,,,,,,,聞きません,聞きませんでした,,,,,,,,verb godan-verb genki3-l03
b8a9c502-6f50-5d50-96f1-417feef69161,b8a9c502-6f50-5d50-96f1-417feef69161,to drink; to swallow,飲む,のむ,,verb,godan verb,5,2022-07-24,213,DUO_02_03 DUO_U07 GENKI3_L03,飲む,飲んだ,飲んで,,,,,,,飲みます,飲みました,,,,,,,,飲まない,飲まなかった,飲まなくて,,,,,,,飲みません,飲みませんでした,,,,,,,,verb godan-verb duo-02-03 duo-u07 genki3-l03
87e72b5b-0332-5b61-b21c-ea8cc6a05c1f,87e72b5b-0332-5b61-b21c-ea8cc6a05c1f,to speak; to talk,話す,はなす,,verb,godan verb,5,2022-07-24,214,GENKI3_L03,話す,話した,話して,,,,,,,話します,話しました,,,,,,,,話さない,話さなかった,話さなくて,,,,,,,話しません,話しませんでした,,,,,,,,verb godan-verb genki3-l03
615aadf7-6900-5c48-814a-d6cc0884ae86,615aadf7-6900-5c48-814a-d6cc0884ae86,to read,読む,よむ,,verb,godan verb,5,2022-07-24,215,DUO_01_02 DUO_U01 GENKI3_L03,読む,読んだ,読んで,,,,,,,読みます,読みました,,,,,,,,読まない,読まなかった,読まなくて,,,,,,,読みません,読みませんでした,,,,,,,,verb godan-verb duo-01-02 duo-u01 genki3-l03
184de362-74cc-5125-a9b9-8658bb577f7d,184de362-74cc-5125-a9b9-8658bb577f7d,to wear,着る,きる,,verb,ichidan verb,5,2022-08-12,216,DUO_01_02 DUO_U01,着る,着た,着て,,,,,,,着ます,着ました,,,,,,,,着ない,着なかった,着なくて,,,,,,,着ません,着ませんでした,,,,,,,,verb ichidan-verb duo-01-02 duo-u01
