日本語,日本語ひらがな,English,Kana Preferred?,Type,Familiarity,,Tags,Index,Genki,Duolingo,Lulilanguage
おはよう,,Good morning,,Phrase,5.0,,greeting,1,L00,,
おはようございます,,Good morning (polite),,Phrase,5.0,,greeting,2,L00,,
こんにちは,,Good afternoon,,Phrase,5.0,,greeting,3,L00,01-02 Hirigana 2,
こんばんは,,Good evening,,Phrase,5.0,,greeting,4,L00,,
さようなら,,Goodbye,,Phrase,5.0,,greeting,5,L00,01-02 Hirigana 2,
お休み,おやすみ,Goodnight,Y,Phrase,4.0,,greeting,6,L00,,
お休みなさい,おやすみなさい,Goodnight,Y,Phrase,4.0,,greeting,7,L00,,
ありがとう,,Thank you,,Phrase,5.0,,greeting,8,L00,,
ありがとうございます,,Thank you (polite),,Phrase,5.0,,greeting,9,L00,,
行って来ます,いってきます,I'll go and come back,?,Phrase,4.0,,greeting,10,L00,,
いってらっしゃい,,Please go and come back,,Phrase,3.0,,greeting,11,L00,,
ただいま,,I'm home,,Phrase,4.0,,greeting,12,L00,,
お帰り,おかえり,Welcome home,?,Phrase,4.0,,greeting,13,L00,,
お帰りなさい,おかえりなさい,Welcome home,?,Phrase,4.0,,greeting,14,L00,,
頂きます,いただきます,Thank you for the meal (before),?,Phrase,3.0,,greeting,15,L00,,
ごちそうさま,,Thank you for the meal (after),,Phrase,4.0,,greeting,16,L00,,
ごちそうさまでした,,Thank you for the meal (after),,Phrase,4.0,,greeting,17,L00,,
はじめまして,,How do you do?,,Phrase,4.5,,greeting,18,L00,,
よろしくお願いします,よろしくおねがいします,Nice to meet you.,N,Phrase,4.0,,greeting,19,L00,,
大学,だいがく,college; university,N,Noun,5.0,,"school, place",20,L01,02-05 Intro 3,
高校,こうこう,high school,N,Noun,4.0,,"school, place",21,L01,02-05 Intro 3,
学生,がくせい,student,N,Noun,5.0,,school,22,L01,,
大学生,だいがくせい,college student; university student,N,Noun,5.0,,school,23,L01,02-05 Intro 3,
留学生,りゅうがくせい,international student; foreign exchange student,N,Noun,1.0,,school,24,L01,02-05 Intro 3,
先生,せんせい,teacher; professor,N,Noun,5.0,,school,25,L01,,
〜年生,〜ねんせい,...year student,N,Noun,4.0,,school,26,L01,02-05 Intro 3,
専攻,せんこう,major,N,Noun,2.0,,school,27,L01,,
私,わたし,I,N,Noun,5.0,,person,28,L01,01-02 Hirigana 2,
友達,ともだち,friend,N,Noun,3.0,,person,29,L01,,
〜さん,,Mr./Ms.,,Noun,5.0,,person,30,L01,,
〜人,〜じん,...people,N,Noun,5.0,,person,31,L01,,
勿論,もちろん,of course,Y,Adverb,,,,32,,02-03 Routines,
会社,かいしゃ,office,N,Noun,,,place,33,,02-03 Routines,
学校,がっこう,school,N,Noun,,,"school, place",34,,02-03 Routines,
小学,しょうがく,elementary school,N,Noun,1.0,,"school, place",35,,02-05 Intro 3,
中学,ちゅうがく,middle school,N,Noun,1.0,,"school, place",36,,02-05 Intro 3,
外国人,外国人,foreigner,N,Noun,0.0,,person,37,,02-05 Intro 3,
住む,すむ,to live; to reside; to hinhabit,N,Verb; mu_verb,0.5,,mu_verb,38,,02-05 Intro 3,
京都,きょうと,Kyoto,N,Proper Noun,3.5,,"place, city",39,L03,02-05 Intro 3,
大阪,おおさか,Osaka,N,Proper Noun,3.0,,"place, city",40,,02-05 Intro 3,
東京,とおきょう,Tokyo,N,Proper Noun,3.5,,"place, city",41,,02-05 Intro 3,
申す,もうす,to say; to be called; name,N,Verb; su_verb,2.0,,su_verb,42,,02-05 Intro 3,
違います,ちがいます,That is not right,N,Phrase,0.0,,,43,,02-05 Intro 3,
違いは何ですか,ちがいはなんですか,What is the difference?,N,Phrase,0.0,,,44,,02-05 Intro 3,
今,いま,Now,N,Noun,5.0,,time,45,L01,02-02 Time,
午前,ごぜん,A.M.,N,Noun,4.5,,time,46,L01,02-03 Routines,
午後,ごご,P.M.,N,Noun,4.3,,time,47,L01,02-03 Routines,
〜時,〜じ,...o'clock,N,Noun,5.0,,time,48,L01,02-02 Time,
半,はん,half; half-past,N,Noun,5.0,,time,49,L01,02-02 Time,
~分,〜ぷん,...minutes,N,Noun,,,time,50,,02-02 Time,
頃,〜ごろ,approximately,Y,Noun,,,time,51,,02-03 Routines,
丁度,ちょうど,exactly,Y,Noun,,,time,52,,02-02 Time,
零,れい,zero,,Noun,,,"number, time",53,,02-03 Routines,
日本,にほん,Japan,N,Proper Noun,5.0,,"place, country",54,L01,,
アメリカ,あめりか,America,N,Proper Noun,5.0,,"place, country",55,L01,,
〜語,〜ご,...language,N,Noun,4.5,,,56,L01,,
〜歳,〜さい,...years old,N,Noun,4.0,,,57,L01,,
電話,でんわ,telephone,N,Noun,4.0,,,58,L01,,
〜番,〜ばん,number (in a series),N,Noun,2.0,,,59,L01,,
番号,ばんごう,number,N,Noun,2.0,,,60,L01,,
