# separator:Comma
# deck:日本語 Vocab
# notetype:日本語 Vocab
# tags column:52
# columns:id,definition,preferred_spelling,phonetic_spelling,alt_spelling,word_class,conjugation_kind,jlpt_level,date_added,row_num,lessons,positive_plain_present,positive_plain_past,positive_plain_te,positive_plain_conditional_eba,positive_plain_conditional_tara,positive_plain_potential,positive_plain_passive,positive_plain_causative,positive_plain_imperative,positive_plain_volitional,positive_polite_present,positive_polite_past,positive_polite_te,positive_polite_conditional_eba,positive_polite_conditional_tara,positive_polite_potential,positive_polite_passive,positive_polite_causative,positive_polite_imperative,positive_polite_volitional,negative_plain_present,negative_plain_past,negative_plain_te,negative_plain_conditional_eba,negative_plain_conditional_tara,negative_plain_potential,negative_plain_passive,negative_plain_causative,negative_plain_imperative,negative_plain_volitional,negative_polite_present,negative_polite_past,negative_polite_te,negative_polite_conditional_eba,negative_polite_conditional_tara,negative_polite_potential,negative_polite_passive,negative_polite_causative,negative_polite_imperative,negative_polite_volitional,tags
f552ea3a-8b7f-5433-aa20-4c93a6868fb3,Good morning,おはよう,おはよう,,expression,,2,2022-04-24,1,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
8359d7d1-d6d6-5995-962e-3f6566232911,Good morning (polite),おはようございます,おはようございます,,expression,,,2022-04-24,2,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
4c55fd59-1160-52d2-8383-00f292668c1f,Good afternoon,こんにちは,こんにちは,,expression,,3,2022-04-24,3,DUO_01_02 DUO_U01 GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression duo-01-02 duo-u01 genki3-l00
8d46e404-38ff-518c-a25d-cb95d6f2c511,Good evening,こんばんは,こんばんは,,expression,,2,2022-04-24,4,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
1184380a-27db-5f8e-841d-7b105c2a7366,Goodbye,さようなら,さようなら,,expression,,2,2022-04-24,5,DUO_01_02 DUO_U01 GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression duo-01-02 duo-u01 genki3-l00
3ecfb07b-0a66-555c-97c4-5af7cb806507,Goodnight,おやすみ,おやすみ,,expression,,2,2022-04-24,6,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
a419bb62-f061-5ac6-856b-6f85002642c6,Goodnight (polite),おやすみなさい,おやすみなさい,,expression,,,2022-04-24,7,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
c7a645f7-256a-536a-a5ee-5f85e8ce1137,Thank you,ありがとう,ありがとう,有り難う,expression,,3,2022-04-24,8,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
b626308d-6418-5a2c-9151-7a8a368f27a3,Thank you (polite),ありがとうございます,ありがとうございます,有難うございます,expression,,,2022-04-24,9,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
1913dbc6-4712-549a-9274-dc3511cecbfe,I'll go and come back,いってきます,いってきます,行ってきます,expression,,,2022-04-24,10,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
e7161fcf-fbaf-5971-8adb-70745ae24103,Please go and come back,いってらっしゃい,いってらっしゃい,,expression,,2,2022-04-24,11,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
c2a4dbcf-dba1-5e27-964f-5e2f7b358725,I'm home,ただいま,ただいま,,expression,,,2022-04-24,12,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
b06abb09-c9bd-5beb-a7b7-d184bedf72ca,Welcome home,お帰り,おかえり,,expression,,2,2022-04-24,13,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
47b08527-885b-50bb-b538-180dc308199a,Welcome home (polite),お帰りなさい,おかえりなさい,,expression,,,2022-04-24,14,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
797b03e3-1495-52c0-baf4-ffb9cb324089,Thank you for the meal (before),いただきます,いただきます,,expression,,3,2022-04-24,15,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
59bad243-8b31-54f3-9d7b-6de0961bc059,Thank you for the meal (after),ごちそうさま,ごちそうさま,,expression,,2,2022-04-24,16,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
05436324-1858-5a2f-a2a1-a41d00f862cc,"Thank you for the meal (after, polite)",ごちそうさまでした,ごちそうさまでした,,expression,,,2022-04-24,17,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
136d6d6d-0487-5709-ac27-2c376bfebd43,How do you do?; I am glad to meet you,はじめまして,はじめまして,初めまして,expression,,2,2022-04-24,18,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
ddd5fd1f-f041-576c-a479-d8d9a3221370,Nice to meet you; i'm counting on you,よろしくお願いします,よろしくおねがいします,宜しくお願いします,expression,,,2022-04-24,19,GENKI3_L00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greeting expression genki3-l00
0d8e1494-cfe2-43ab-b06e-31ad060eec1a,be; is (coupala),だ,だ,,verb,copula verb,,2022-10-09,20,,だ,だった,で,,だったら,,,,,,です,でした,でありまして,,でしたら,,,,,,じゃない,じゃなかった,,,じゃなかったら,,,,,,じゃないです,じゃないかったです,,,,,,,,,verb copula-verb
d43cc787-37af-5dd1-92b5-fc756f18298a,college; university,大学,だいがく,,noun,,5,2022-04-24,21,DUO_02_05 DUO_U08 GENKI3_L01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,place school noun duo-02-05 duo-u08 genki3-l01
3c890a54-15f9-56e1-9bd5-3c91274b6246,high school,高校,こうこう,,noun,,4,2022-04-24,22,DUO_02_05 DUO_U08 GENKI3_L01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,place school noun duo-02-05 duo-u08 genki3-l01
6de86986-05ed-58da-a055-9d49c89f7a06,student,学生,がくせい,,noun,,5,2022-04-24,23,GENKI3_L01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school noun genki3-l01
d1cb9e5b-6cc5-5339-b33d-4e948229156e,college student; university student,大学生,だいがくせい,,noun,,4,2022-04-24,24,DUO_02_05 DUO_U08 GENKI3_L01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school noun duo-02-05 duo-u08 genki3-l01
efe5fea4-0476-5328-bd18-2a469a8b6c3e,international student; foreign exchange student,留学生,りゅうがくせい,,noun,,5,2022-04-24,25,DUO_02_05 DUO_U08 GENKI3_L01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school noun duo-02-05 duo-u08 genki3-l01
c21b42a5-1ef1-51cf-9402-199d2b562a47,teacher; professor,先生,せんせい,,noun,,5,2022-04-24,26,GENKI3_L01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school noun genki3-l01
057a7cd1-f1a6-50e2-8449-3b6f04c67305,...year student,〜年生,〜ねんせい,,noun,,1,2022-04-24,27,DUO_02_05 DUO_U08 GENKI3_L01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school noun duo-02-05 duo-u08 genki3-l01
e71aac30-c949-5b47-b118-d02a5d703701,major,専攻,せんこう,,noun,,3,2022-04-24,28,GENKI3_L01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school noun genki3-l01
4b1d8b7f-6477-5881-9439-1a7f30b26c9d,I,私,わたし,,pronoun,,5,2022-04-24,29,DUO_01_02 DUO_U01 GENKI3_L01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,person pronoun duo-01-02 duo-u01 genki3-l01
c88ef88c-2242-4ea2-903e-ceeb22e7614d,you,あなた,あなた,貴方,pronoun,,5,2022-10-10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,person pronoun
f65b93fb-1086-5405-8163-394db3e83014,friend,友達,ともだち,,noun,,5,2022-04-24,31,GENKI3_L01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,person noun genki3-l01
c26e8356-f73a-5ddf-b045-432580c37468,Mr./Ms.,〜さん,〜さん,,suffix,,1,2022-04-24,32,GENKI3_L01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,person suffix genki3-l01
0ef6972f-5e7d-5b51-be7f-8f39a5fd5e0e,...people,〜人,〜じん,,suffix,,1,2022-04-24,33,GENKI3_L01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,person suffix genki3-l01
146b7705-d9cd-511f-988c-5b2cc7661b75,of course,もちろん,もちろん,勿論,adverb,,3,2022-04-24,34,DUO_02_03 DUO_U07 GENKI3_L07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adverb duo-02-03 duo-u07 genki3-l07
8bedfb60-1599-58b0-9568-5e72b8cf6b7e,office; company,会社,かいしゃ,,noun,,5,2022-04-24,35,DUO_02_03 DUO_U07 GENKI3_L07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,place noun duo-02-03 duo-u07 genki3-l07
25f93b07-dc04-553a-8794-329cc907dbe5,school,学校,がっこう,,noun,,5,2022-04-24,36,DUO_02_03 DUO_U07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,place school noun duo-02-03 duo-u07
37eba762-70cf-5c5c-b689-621f26c1ee5f,elementary school,小学,しょうがく,,noun,,,2022-04-24,37,DUO_02_05 DUO_U08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,place school noun duo-02-05 duo-u08
99cdf9f9-df8c-5d7a-9ea1-a7c003c9f289,middle school,中学,ちゅうがく,,noun,,3,2022-04-24,38,DUO_02_05 DUO_U08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,place school noun duo-02-05 duo-u08
947e6f87-e4fe-5b27-9bd3-215e8b1fc71a,foreigner,外国人,がいこくじん,,noun,,5,2022-04-24,39,DUO_02_05 DUO_U08 GENKI3_L15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,person noun duo-02-05 duo-u08 genki3-l15
dd191fac-e29b-5262-b2a6-f9f2875a4a3f,to live; to reside; to inhabit,住む,すむ,,verb,godan verb,5,2022-04-24,40,DUO_02_05 DUO_U08 GENKI3_L07,住む,住んだ,住んで,,住んだら,住める,,,,住もう,住みます,住みました,,,住みましたら,住めます,,,,,住まない,住まなかった,住まなくて,,住まなかったら,住めない,,,,,住みません,住みませんでした,,,,住めません,,,,,verb godan-verb duo-02-05 duo-u08 genki3-l07
fc82f2ac-3b17-582f-9259-7200e1430824,Kyoto,京都,きょうと,,proper noun,,,2022-04-24,41,DUO_02_05 DUO_U08 GENKI3_L03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city place proper-noun duo-02-05 duo-u08 genki3-l03
15c5fee6-dda7-5d40-b7fd-382d97a28b9c,Osaka,大阪,おおさか,,proper noun,,,2022-04-24,42,DUO_02_05 DUO_U08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city place proper-noun duo-02-05 duo-u08
